QTD,PRESENTE,VALOR TOTAL,$$,,,LINK,imagem
2,Excursão de barco na ilha de James Bond (Krabi),"R$ 460,00","R$ 230,00",2 cotas 230,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/53/f3/fc/caption.jpg?w=1200&h=-1&s=1
2,Mala Farm pequena,"R$ 800,00","R$ 400,00",2 cotas 400,,,https://meninashoes.vtexassets.com/arquivos/ids/468470/683145P-Mala-Farm-Me-Leva-Folhagem-Cool-P-VARIACAO2.jpg?v=638439501583130000
2,Hoi An cooking class,"R$ 310,00","R$ 310,00",,,,https://hiddenhoian.com/wp-content/uploads/2018/10/the-instructor-shows-some-decorative-techniques-with-vegetables-at-the-tre-que-water-wheel-cookig-class.-photo-kristen-wells.jpg
2,Hospedagem na província de Krabi,"980","490",,,,https://cf.bstatic.com/xdata/images/hotel/max1280x900/242939248.jpg?k=fa9751e680bb71f0426deac98d83d91113b0c828e6bd721378d7aa61d02b2c27&o=&hp=1
1,Torradeira,"R$ 170,00","R$ 170,00",,,,https://electrolux.vtexassets.com/arquivos/ids/212255/Toaster_ETS10_Perspective_Electrolux_1000x1000_Principal.jpg?v=637683649889970000
2,Viagem 1 dia de Bangkok para Ayutthaya com Mercado Flutuante,"R$ 290,00","R$ 290,00",,,https://www.tripadvisor.com.br/Tourism-g303897-Ayutthaya_Ayutthaya_Province-Vacations.html,https://cdn.getyourguide.com/img/tour/5e4e02a389b97.jpeg/145.jpg
5,Quadro Decorativo para sala,"R$ 2.500,00","R$ 500,00",5 cotas 500,,,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/30392/15029846.jpg
1,"Extrator de Sucos Turbo Premium, Mondial, Preto/Inox, 250W, Bivolt - E-10","R$ 180,00","R$ 180,00",,,https://amazon.com.br/Extrator-Sucos-Premium-Bivolt-Mondial/dp/B0764H7W59/ref=sr_1_4?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2NVWDAQFU59UH&dib=eyJ2IjoiMSJ9.KWUPBpQVQm8SSkz-6mNucHGRC3yrFMkgHYBC9Kuf4GPz-cg2-SdrrH8oKhifS-L5qjEtJBx5Nj1ii-mqCFLDdDfazezD3qqvk12yfun7pbHB_wfQovB5KNaDqgfBxP01l3AS396mt-V0J1Pwx48v8uqbW2wYKLtaV2bviungA6WgiOdxKHoIIarJcaI_lm1Of9OJEo-_xuHHNfC4pVu_A61gadPHYhi0jfgjzDfJ86DGkIn3Y_W0ZKuUArCnHaH-CoZTIlBRzdveNQpL4eqLn2i0SrB6aPfsq2uzNRK6wtg.k7flYL2vlyOmj_GQWjnaf_YPgadLPyDpTuoZLwVtNM8&dib_tag=se&keywords=espremedor%2Bde%2Bfrutas&qid=1712004668&sprefix=espremedor%2Bde%2Bfrut%2Caps%2C223&sr=8-4&ufe=app_do%3Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d&th=1,"https://m.media-amazon.com/images/I/815obUJiSQL._AC_UF894,1000_QL80_.jpg"
2,Dia no santuário de elefantes em Chiang Mai,"R$ 980,00","R$ 490,00",,,,https://www.civitatis.com/f/tailandia/chiang-mai/excursion-santuario-elefantes-chiang-mai-grid.jpg
10,Baixelas de inox,"R$ 1.800,00","R$ 180,00",10 cotas 180,,https://www.woly.com.br/conjunto-8-pecas-baixela-de-aco-inox-octogonal-wolff/p?idsku=7360&gad_source=1&gclid=Cj0KCQjw2uiwBhCXARIsACMvIU0EIEaOPYBtqZoNKT4Qxvde0rmlJIg7CcKM1vO0Po9CfSZnTvVNRuUaAtjwEALw_wcB,"https://m.media-amazon.com/images/I/51eHxzfPCYL._AC_UF894,1000_QL80_DpWeblab_.jpg"
