quantity,title,price,,img
2,Passeio de balão na Capadócia,"R$ 510,00",,https://cdn.getyourguide.com/img/tour/6f8c1bc2a3ef0b2c.jpeg/145.jpg
5,Hotel Istanbul,"R$ 500,00",,https://teresaperez.com.br/wp-content/uploads/2024/06/ciragan-palace-kempinski.jpg
,Quadro Decorativo para sala,"R$ 500,00",,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/30392/15029846.jpg
1,Jantar em restaurante turco,"R$ 250,00",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/d9/b5/17/360istanbul.jpg?w=900&h=-1&s=1
,Cadeira escritório,"R$ 450,00",,https://m.media-amazon.com/images/I/41TRGhODoqL._SL500_.jpg
2,SPA Kayakapi Caves – Capadócia,"R$ 600,00",,https://www.kayakapi.com/img/mehmet-tokat-evi-pool.jpg
,Travessas cerâmica,"R$ 220,00",,https://d2qdb2914189p2.cloudfront.net/Custom/Content/Products/19/90/19901_travessa-ceramica-para-gratinar-retangular-20x16cm-branca-staub-ceramicas-399014_m5_638205394499288700.jpg
1,Tour para Hagia Sophia,"R$ 270,00",,https://cdn.getyourguide.com/img/tour/996d03e26d567f972f9b039d3353758a176c63d7c820088f6246920da100fec8.png/145.jpg
,Jogo de Lençol 100% Algodão ,"R$ 550,00",,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/semi-environment/_0003_cama-3---jogo-de-lencol-percal-100_-algodao-daily-mm180jdqa3150-1jpg-1705932754613.jpg
1,Tour para Cisterna da Basílica ,"R$ 210,00",,https://yerebatan.com/wp-content/uploads/2022/12/yerebatan-sergi-ogu5760-min-iXYK-scaled.jpg
,Travessas,"R$ 800,00",,https://ceramicabrennand.com/cdn/shop/products/A024_travessaoblonga_conjunto3.png?v=1656935150&width=1445
,Ventilador de Mesa,"R$ 270,00",,"https://m.media-amazon.com/images/I/71RnPd65OWL._AC_UF894,1000_QL80_DpWeblab_.jpg"
1,Tour para Mesquita Azul,"R$ 300,00",,https://cdn.getyourguide.com/img/tour/78caacbfdd4629dad38a85c8b16dc3cb12ddd3724946ab9f23e0585d7b456d5c.jpg/145.jpg
,Jogo de Lençol Bordado ,"R$ 1.000,00",,https://images-prod.mmartan.com.br/1536x1536/jpg/products/photos/semi-environment/cama-13---mmsofkcqa1060-mm200jdqa4130-eqn2pcont18bc-mmcapquaz1meli_0017_cama-13---mmsofkcqa1060-mm200jdqa4130-eqn2pcon-1696448189956.jpg
2,Banho turco privado,"R$ 270,00",,https://cdn.getyourguide.com/img/tour/3037412b619db68cc541c08b7517f2b10ef59021c51957498a5e8a7502c03154.jpeg/145.jpg
1,Visita a Torre Galata,"R$ 190,00",,https://cdn.getyourguide.com/img/tour/ba20e0ecd2fe544b6f1975f95f27736fdba9f5b46b0f2149880f8aba64e9bd14.jpg/145.jpg
1,Cruzeiro para pôr do sol Istanbul,"R$ 320,00",,https://cdn.getyourguide.com/img/tour/732c032072fc2b20792fa51b8823f8d7b4420af8ee30cdd5944f0f5c8dcd4dae.jpeg/145.jpg
